"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"5","245175_at",0.705720944765808,11.2972365590696,6.15549004842872,5.89250696631428e-05,0.00773516796835027,2.17577072021963,"ATPDIL2-1","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response."
"6","245175_at",0.705720944765808,11.2972365590696,6.15549004842872,5.89250696631428e-05,0.00773516796835027,2.17577072021963,"MEE30","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response."
"7","245175_at",0.705720944765808,11.2972365590696,6.15549004842872,5.89250696631428e-05,0.00773516796835027,2.17577072021963,"PDI11","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response."
"8","245175_at",0.705720944765808,11.2972365590696,6.15549004842872,5.89250696631428e-05,0.00773516796835027,2.17577072021963,"UNE5","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response."
"11","245262_at",-2.17708606669079,9.80011696531791,-6.16033869799795,5.85081463098836e-05,0.00773516796835027,2.1825753004866,NA,NA
"53","246211_at",-1.13810054586675,10.7838082895973,-6.18180533147921,5.66996308921947e-05,0.00773516796835027,2.21265732115516,"AtGBF1","member of a gene family encoding basic leucine zipper proteins (GBFs) which bind the G-box"
"54","246211_at",-1.13810054586675,10.7838082895973,-6.18180533147921,5.66996308921947e-05,0.00773516796835027,2.21265732115516,"GBF1","member of a gene family encoding basic leucine zipper proteins (GBFs) which bind the G-box"
"56","246293_at",1.92780161885666,9.93265121520287,6.14872858689956,5.95117556696253e-05,0.00773516796835027,2.16627556212453,"SIB1","Sig1 binding protein; interacts with Sig1R4. As well as Sig1, SibI is imported into chloroplasts and its expression is light-dependent in mature chloroplasts."
"82","247313_at",0.650958444034622,10.163850926161,6.18167159242803,5.6710712170209e-05,0.00773516796835027,2.21247013056682,"ALX8","Encodes a bifunctional protein that has 3'(2'),5'-bisphosphate nucleotidase and inositol polyphosphate 1-phosphatase activities and rescues sulfur assimilation mutants in yeast.  It is involved in the response to cold, drought (negative regulator of drought tolerance), and ABA. Mutants in this gene exhibit enhanced induction of stress genes in response to cold, ABA, salt and dehydration due to higher accumulation of the second messenger, inositol (1,4,5)- triphosphate (IP(3)). Involved in degradation of small mRNAs. Mutants also affect the accumulation of miRNA target cleavage products. Regulates light-dependent repression of hypocotyl elongation and flowering time via its 3'(2'),5'-bisphosphate nucleotidase activity."
"83","247313_at",0.650958444034622,10.163850926161,6.18167159242803,5.6710712170209e-05,0.00773516796835027,2.21247013056682,"AtFRY1","Encodes a bifunctional protein that has 3'(2'),5'-bisphosphate nucleotidase and inositol polyphosphate 1-phosphatase activities and rescues sulfur assimilation mutants in yeast.  It is involved in the response to cold, drought (negative regulator of drought tolerance), and ABA. Mutants in this gene exhibit enhanced induction of stress genes in response to cold, ABA, salt and dehydration due to higher accumulation of the second messenger, inositol (1,4,5)- triphosphate (IP(3)). Involved in degradation of small mRNAs. Mutants also affect the accumulation of miRNA target cleavage products. Regulates light-dependent repression of hypocotyl elongation and flowering time via its 3'(2'),5'-bisphosphate nucleotidase activity."
